Not the newest Generation Airpots,"
  I purchased these during Prime days since they were advertised as the 2nd generation airpods with wireless charging case. Received on time and was pleased with the ease of connectivity and music playback as i worked outside. The main reason i purchased these was to be handsfree during my workday making and receiving calls. I immediately received feedback from the other party on calls that they couldn't hear me at all and that it was just static/ bad connection sounds when using the right airpod, left worked great. Needless to say that frustrated me consider the costs of these airpods. I reached out to apple support for advise and was sent to my local Best buy for repair/replacement of the right airpod. Best buy scanned the serial number on the box to order a replacement for me and informed me that these were in fact not 2nd generation airpods, that the model numbers listed on each one of them were 1st generation so that explains the issues I'm having. I feel i should be able to exchange these for 2nd generation airpods as that is what i purchased. Be mindful of the serial numbers listed on the actual airpods to confirm they are the second generation - First gen airpods serial numbers are : AirPods (1st generation)",2.0 out of 5 stars,Amazon Customer
My refund,"
  First, I am reviewing this based on price! It was advertised at $139. I was charged $199. The original in the post was $159 scratched out with the $139 below it. I would like my refund please! Also, K do not know how to wrk these. They fall out, hurt my ears, and only one of them work half of the time, also nothing happens when touching or tapping them. I cannot make anything happen by talking. I can get Siri to answer me after awhile of yelling at her, and that’s it. Other than that, I really don’t understand these things!
",1.0 out of 5 stars,Curious cat owner
fake,"
  received fake airpods :/ working on refunding them
",1.0 out of 5 stars,Adrianna Diaz
Fake fake fake,"
  First time I’ve been taken on a product. These are not genuine Apple AirPods. These are knockoffs do not buy. Compared immediately with my friends Pods and the case was different, writing is different, seams in the Pods themselves that proven they are poorly made, did not connect right away, died instantly.
",1.0 out of 5 stars,Mat R.
These have a specific place in daily life and exercise.,"
  Update:  So I still love these earbuds but they have a place.  Since I started using these I’ve bought the AirPods Pro too and because of that and the use of Jabra Elite 65T Active I’ve decided these have their own place.  So I live in an area with all 4 seasons.  So I run outside in the cold along with when it is warm.  Despite the fact that these are not rated as water or sweet resistant at all I decided to go ahead and try them.  For me these stay put really good in my ear (for running and normal use). They will not work well for functional training and will probably fall out.  Their sound quality compared to the Jabra and even better the AirPods Pro are much more flat.  Not much base at all in these.  So the place I’ve decided to place these in my life.  If I’m in an atmosphere where I want to hear what is going on around me I still prefer these over the AirPods Pro which have the “transparency mode”.  Also as I’m running outside I love the transparency mode on the AirPods Pro (AirPods Pro put their “hear through” feature on the Jabra Elite 65 T to shame).  But that being said if I’m wearing a winter hat you can hear the hat rubbing on the mics on the AirPods Pro.  You don’t get that with these.  So I’ll wear these while wearing a hat when running during colder weather and I’m still able to hear my surroundings without any distortion.  So for pairing, once paired these things are amazing.  I can walk around my entire house and not have any drops.  Now, Apple’s claim to fame is Airplay and the ability for you AirPods to switch seamlessly between Apple devices.  Well it doesn’t really work as seamless as they would like or we would like.  There are many times where I will switch to my Apple Watch to stream music to my AirPods and only one of the AirPods connect.  And something that has happened maybe twice they were not even recognizable.  The fix always seems to be just putting them back in the case, closing the lid, waiting a second or two and then it works.  It is just weird because there seems to be no reason to this problem.  It is completely random to even which single AirPod it connects to.  I haven’t removed a star for this fact because although annoying at times it still is a simple fix and a solid connection once they connect.  I hope this update helps.",5.0 out of 5 stars,Arron V
Saving the wife’s life,"
  Bought for my lovely bride who sleeps with headphones on.  By the morning she is all wrapped up in cords. Now she won’t strangle herself at night
",5.0 out of 5 stars,IBuyAlot
These were not new,"
  I purchased these as a gift for my daughters birthday. No where in the description of this product does it mention that these are REFURBISHED and NOT new as one would expect. When they arrived, the AirPods were packaged as if they came directly off the shelf at the Apple store. However, once I opened the package I noticed scratches on the case and dirt underneath the AirPods. Also, the clear sleeve that protects the charging case was tapped down giving the illusion they were NEW. I attempted to charge the AirPods but I could never get the right AirPod to 100%. Once connected to Bluetooth I attempted to adjust the settings but the settings never appeared. After doing additional research I notice the AirPods serial number on the case didn’t match the serial number on the box?? If Amazon is going to continue selling these they need to be very clear that these are indeed REFURBISHED and NOT new. I WILL BE RETURNING these to Amazon IMMEDIATELY. I would recommended purchasing Apple products directly from Apple.
",1.0 out of 5 stars,Amazon Customer
I would Recommend It,"
  Works perfectly well and also just as described. It’s new also
",5.0 out of 5 stars,Gloria Adu Gyamfi
Great but didn't justify the pricetag,"
  I bought these and were sadly disappointed. Everyone at my work keeps saying how great they are and how convenient. I can agree the convenience is great but for what you are actually paying for, it didn't justify. Here is why:",3.0 out of 5 stars,packratako
"Watch out for fakes. Ordered ""brand new"" and checked serial number on apple website.","
  Returned the fake airpods and bought brand new airpods. There are multiple websites that will show you how to spot a fake, but still the best way is to cross check the serial number on apple's website.
",1.0 out of 5 stars,TRUYELPER
